"","id","age","checking_status","class","credit_amount","duration","employment","existing_credits","feat01","feat02","feat03","feat04","feat05","feat06","feat07","feat08","feat09","feat10","foreign_worker","installment_commitment","job","num_dependents","own_telephone","residence_since","savings_status","sex","credit_history_critical/other existing credit","credit_history_delayed previously","credit_history_existing paid","credit_history_no credits/all paid","housing_own","housing_rent","other_parties_guarantor","other_parties_none","other_payment_plans_none","other_payment_plans_stores","property_magnitude_life insurance","property_magnitude_no known property","property_magnitude_real estate","purpose_domestic appliance","purpose_education","purpose_furniture/equipment","purpose_new car","purpose_other","purpose_radio/tv","purpose_repairs","purpose_retraining","purpose_used car","marital_status_div/sep","marital_status_mar/wid","marital_status_single"
"1",1,50,1,1,2319,21,5,2,0.239898427777527,0.614230201893407,1.30965862071834,0.976445725829849,0.709971715870983,0.569709628457905,0.950835109641912,0.581458166118791,0.780483071227754,0.483015696018176,1,4,3,1,0,2,2,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
"2",2,30,1,1,1163,15,4,2,0.521138563751193,0.790471538986454,1.45273700911558,1.20022874212186,1.20288254501688,0.957487791565732,0.51497103901772,1.17996907120879,1.13801920623889,0.327573296145952,1,3,3,1,0,2,5,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"3",3,32,1,1,1502,10,5,2,0.286838158882139,0.541755529470495,0.957340427473558,0.855903780877408,0.544296092423984,1.14031877778646,1.03890587833506,1.49729344631294,1.13053624280945,0.481873666828056,0,3,2,2,0,4,2,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
"4",4,34,1,1,4436,36,3,2,0.430936828095684,0.531140360678425,0.941830194191849,1.16364697749897,1.17048990143294,1.33919499029396,0.979320450053936,0.532072009401283,1.08462820896793,0.630283769146618,1,4,3,1,0,4,2,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"5",5,21,1,1,10155,60,4,1,0.439642970648386,0.602667186372227,1.10855594852919,0.763794466754279,1.02532501042252,0.633542735116505,0.845509582442693,1.03995477567891,1.25619895907927,0.51801225827875,1,2,3,1,1,4,3,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"6",6,25,1,1,3413,24,2,2,0.429684210744132,0.586525934558065,0.633762851460987,1.03582167166698,0.660274043853986,0.792228309380476,0.951895316987315,1.33463873911389,0.76889374304285,0.401251568287007,1,4,3,1,0,2,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"7",7,36,3,1,2235,24,5,1,0.338624660209241,0.584340922440606,0.691583941180865,1.19890516992345,1.43020491264601,0.716408787631709,1.11020381269445,1.54712157734911,1.40942502570117,0.632783187158175,1,4,3,1,1,4,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
"8",8,25,2,1,3555,18,4,1,0.633843593894053,0.493861342568468,1.16188067535167,1.39677880401489,1.50814524675311,0.439001895114596,0.544151914673432,0.579731657398286,1.15199428985235,0.407195823473061,1,4,3,1,0,1,2,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"9",9,21,1,1,1805,6,3,1,0.601777378487194,0.467685784675425,1.10931276198329,1.24280515662991,1.20659735725952,0.975846947454546,1.25518754100301,1.52765131392246,1.3524363965548,0.610363510708417,1,1,3,1,0,2,2,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"10",10,36,3,1,2756,36,5,1,0.552575325107619,0.569346676983085,1.12941803222807,0.357105007185251,1.54777214954178,1.40424940764927,0.843165374987435,1.31718846958699,0.967642123385406,0.487435571807742,1,4,3,1,0,4,2,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
